6869	0	134213	1513252	NR	romancenights	11/2/05 8:32 PM	1.13096352E12	should buy compaq emachine	saw computers being compaq mb processor emachine mb processor
6869	1	134213	1513283	1513252	damasta55r	11/2/05 8:56 PM	1.13096496E12	re	emachine
6869	2	134213	1513300	1513283	nerdyboy1234	11/2/05 9:07 PM	1.13096562E12	depends	need bit could always upgrade ram compaq mb ram sufficiently everyday use surfing net word processing etc
6869	3	134213	1513332	1513252	PKsteven	11/2/05 9:31 PM	1.13096706E12	tricky	intents purposes newest emachine best consider possiblility compatabiliy issues seen where many devices apps etc made mind work problem intel itanium bit apps use half cpu power fact cripple ability run believe amd patch intel allows bit os run smoothly bit assume emachines knew before throwing bit looking processor bit double meaning process double amount far faster making way darn near everything near future looking right respect emachines heads hand hp support way emachine bought emachine time good deal told month warranty laughed techs said motherboard problem hung finally contact management year actual year warranty told months complained mb finally burned actually call corporate office anything done explained everything apologized sent pc days later got back nothing done recontacted corporate office finally got taken care hp decent experience far going above beyond believe hp compaq same changed customer support way once worked many compaq hp honestly stand slow nature stuffy systems every hp needed upgrading though saying latest way past experience big problem os system restore call order disks every darn hp restore partition didnt work wifes aunt bought compaqhp she using message popped saying she many seconds backuprestore disks os she could longer restore system anything happened luckily she disks hand promptly others were lucky missed second warning use floppy many come anymore let hand emachines restore disks worked great could use whenever needed were wasnt over bloated hp things change though take having experience worth most likely decent working machine anyway let scare ya emachine going strong far years hps worked good luck paul
6869	4	134213	1513368	1513300	PKsteven	11/2/05 10:12 PM	1.13096952E12	sufficient	sufficient recommended standard xp lately most tell least run right upgraded many hp pcs due slow running apply hps most pcs kids athlon ran slow xp came runs great xp far robust previous versions saying older version lovers needs ram mention apps etcand norton installed running ram until uninstalled good saying systems wont run fine most part advisable paul
6869	5	134213	1513415	1513252	linkit	11/2/05 11:15 PM	1.1309733E12	tell	tell give details links machines
6869	6	134213	1513751	1513252	Willy	11/3/05 6:08 AM	1.13099808E12	nt nt buy emachine room grow latest stuff	NIL
6869	7	134213	1515586	1513252	JWK	11/4/05 3:25 AM	1.1310747E12	mean hp gateway	compaqhp emachinesgateway excellent choices talking ones wallyworld neither breware emachine flat screen crt monitors bought dollar wally world never could adjust monitorwas blurytook back exchange nd same way might luck compaqyou save enough buy extra memoryi why selling pcs anymore bucks gig memory ever buyuninstall demo crap unneeded programs pc winner goodluck
6869	8	134213	1516240	1513252	gatorback	11/4/05 8:03 AM	1.13109138E12	neither	helped friend purchase dell flat panel monitor ghz pentium celeron gb hdd cd player usb kb rebate
6869	9	134213	2366099	1513332	prairiepalmeri	1/5/07 10:37 AM	1.16799342E12	paul	same thing happened lucked network card died motherboard shortly broke days before warranty took best buy day before warranty
6869	10	134213	2756913	1516240	jeannie12055	4/22/08 8:45 AM	1.2088539E12	dell	day old dell desktop trouble day came box kept connecting disconnecting internet own called their india support line live usa told how correct next day computer lost mind went back same settings called india why need india live usa saying software problem ask why should computer software problem said reinstall windows problems browsing internet called got indiagrrrrrr person usa said couldnt fight decided install windows themself kept until midnight though eveything fine nope next morning tried dialup connection got blue screen death called support got thrown india decided send mother board modem local man came install stuff her rebooted computer heard him mumbling he knew he connected hard drive he made adjustments said ok ther eit thought ok doing never said anything next morning turned computer nothing trying go floppy drive called support india said worry wnet changed how where starts working wont browse internet connected dialup connected dsl browse speed dialup connection round rock texas wants tech call try trouble shoot said money back computer take thins put living room day satisfaction gone past teh while complaining way before days people india wasnt listening wanted install software ask hey wrong doing same thing put same software back tell anyone ever buy dell almost laptop paid off replace something dell dell helpful nowon scale being low rate
